BALANCE GENERAL,,,,ESTADO RESULTADOS,,,,FLUJO DE EFECTIVO,,,,,,,,,,,,,,,,,ESTADO DE CAMBIOS EN EL CAPITAL CONTABLE,,,
RAZÓN SOCIAL,Rey Salvador,,,RAZÓN SOCIAL,Rey Salvador,,,RAZÓN SOCIAL,Rey Salvador,,,,,,,,,,,,,,,,RAZÓN SOCIAL,Rey Salvador,,
Inversiones financieras, -   ,,,Mano de obra directa,19952.00,,,Otros Cobros, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,"Transferencia de Resultados a otras cuentas patrimoniales  ""Apropiación de reserva legal o especial"".",,,0.00
Inmuebles  maquinaria y equipo, -   ,,,Gastos indirectos,16135.65,,,                 EGRESOS,,,,,,,,,,,,,,,,,Transferencia de Resultados a otras cuentas patrimoniales,,,0.00
Depreciación acumulada, -   ,,,Inventario final, -   ,,,Pago de tarjeta de crédito,-85673.65,-23000.00,-19930.03, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-128603.68,,,Realización de la Reserva por Valuación de Activos Financieros Disponibles para la venta,,,0.00
Intangibles, -   ,,,Costo de las ventas,36087.65,,,Otros gastos no deducibles,-10230.00,-23624.00,-31444.00,-8400.00, -   , -   , -   , -   , -   , -   , -   , -   ,,-73698.00,,,Realización de la Reserva por Valuación de Propiedades  planta y equipo,,,0.00
TOTAL ACTIVOS  NO CORRIENTES, -   ,,,,,,,Pago por personal necesario,-10000.00, -   ,-5500.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-15500.00,,,Realización de la Reserva por Valuación de Activos Intangibles,,,0.00
,,,,Ganancia (pérdida) bruta,985752.80,,,Transporte,-2428.51,-1864.42,-2691.36,-615.82, -   , -   , -   , -   , -   , -   , -   , -   ,,-7600.11,,,"Otros cambios (detallar) ""Ganancias (pérdidas) actuariales por planes de beneficios definidos""",,,0.00
TOTAL ACTIVOS,698503.10,,,,,,,Gastos indirectos,-57000.00,-749.00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-57749.00,,,Resultado Integral Total del Año (Ganancia o pérdida del ejercicio),,833056.57,833056.57
,,,, GASTOS,ND,,,Luz, -   ,-59.00, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-59.00,,,,,,
 PASIVO,,,,,,,,Mano de obra directa, -   , -   ,-19952.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-19952.00,,,Saldo al final del periodo (2024),108176.20,833056.57,941232.77
,,,,Transporte,7600.11,,,FLUJO OPERATIVOS TOTALES,78288.30,-25110.73,34430.38,-8675.82, -   , -   , -   , -   , -   , -   , -   , -   ,,-303161.79,,,,,,
Pasivos a corto plazo,,,,Luz,59.00,,,,,,,,,,,,,,,,,0.00,,,,,,
Proveedores,40760.97,,,Compras en línea,41793.06,,,,,,,,,,,,,,,,,0.00,,,,,,
Préstamos < 1 año, -   ,,,Streamings,1906.00,,,FLUJOS DE EFECTIVO DE INVERSIÓN,,,,,,,,,,,,,,,,,,,,
IVA Trasladado - retenciones,132577.07,,,Teléfono,1694.00,,,                INGRESOS,,,,,,,,,,,,,,,,,,,,
TOTAL PASIVOS CORRIENTES,173338.04,,,Internet,1846.00,,,Inversiones/ahorro,238500.00, -   ,52378.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,290878.00,,,,,,
,,,,Pago por personal necesario,15500.00,,,Cobros por ventas de activo fijo,,,,,,,,,,,,,,0.00,,,,,,
Pasivos a largo plazo,,,,Renta,16000.00,,,Otros activos financieros,,,,,,,,,,,,,,0.00,,,,,,
Deuda a largo plazo,,,,Otros gastos no deducibles,156471.29,,,                 EGRESOS,,,,,,,,,,,,,,,,,,,,
Ganancias diferidas,,,,Total de gastos,242869.46,,,Inversiones/ahorro,-238500.00, -   ,-52378.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-290878.00,,,,,,
TOTAL PASIVOS NO CORRIENTES, -   ,,,,,,,Renta, -   ,-8000.00,-8000.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-16000.00,,,,,,
,,,,Ingresos operativos netos,742883.34,,,FLUJO INVERSIÓN TOTALES, -   ,-8000.00,-8000.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-306878.00,,,,,,
TOTAL PASIVOS,173338.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, OTROS INGRESOS,,,,,,,,,,,,,,,,,,,,,,,,
 PATRIMONIO,,,,,,,,FLUJOS DE EFECTIVO FINANCIEROS,,,,,,,,,,,,,,,,,,,,
Capital social,108176.20,,,Ingresos no acumulables,81849.03,,,                INGRESOS,,,,,,,,,,,,,,,,,,,,
Resultados acumulados,833056.57,,,Intereses,8324.20,,,Intereses,2441.08,2812.01,3071.11, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,8324.20,,,,,,
TOTAL PATRIMONIO NETO,941232.77,,,Total de otros ingresos,90173.23,,,Otros, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,,,,
,,,,,,,,                 EGRESOS,,,,,,,,,,,,,,,,,,,,
TOTAL PASIVO+PN,1114570.81,,,GANANCIA (O PÉRDIDA) NETA,833056.57,,,Pagos de intereses, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,,,,
Cuadre,-416067.71,,,,,,,Pagos de préstamos bancarios, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,,,,
,,,,,,,,Pagos de dividendos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,,,,
,,,,,,,,Pagos de acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,,,,
,,,,,,,,FLUJO DE FINANCIAMIENTO TOTALES,2441.08,2812.01,3071.11, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
