BALANCE GENERAL,,,,ESTADO RESULTADOS,,,,FLUJO DE EFECTIVO,,,,,,,,,,,,,,,,,ESTADO DE CAMBIOS EN EL CAPITAL CONTABLE,,,
RAZÓN SOCIAL,Rey Salvador,,,RAZÓN SOCIAL,Rey Salvador,,,RAZÓN SOCIAL,Rey Salvador,,,,,,,,,,,,,,,,RAZÓN SOCIAL,Rey Salvador,,
 PASIVO,,,,,,,,Mano de obra directa, -   , -   ,-19952.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-19952.00,,,Saldo al final del periodo (2024),108176.20,-179607.63,-71431.43
,,,,Transporte,7600.11,,,FLUJO OPERATIVOS TOTALES,78288.30,-25110.73,34430.38,-8675.82, -   , -   , -   , -   , -   , -   , -   , -   ,,-303161.79,,,,,,
Pasivos a corto plazo,,,,Luz,59.00,,,,,,,,,,,,,,,,,0.00,,,,,,
Proveedores,40760.97,,,Compras en línea,41793.06,,,,,,,,,,,,,,,,,0.00,,,,,,
Préstamos < 1 año, -   ,,,Streamings,1906.00,,,FLUJOS DE EFECTIVO DE INVERSIÓN,,,,,,,,,,,,,,,,,,,,
IVA Trasladado - retenciones,374.70,,,Teléfono,1694.00,,,                INGRESOS,,,,,,,,,,,,,,,,,,,,
TOTAL PASIVOS CORRIENTES,41135.67,,,Internet,1846.00,,,Inversiones/ahorro,238500.00, -   ,52378.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,290878.00,,,,,,
,,,,Pago por personal necesario,15500.00,,,Cobros por ventas de activo fijo,,,,,,,,,,,,,,0.00,,,,,,
Pasivos a largo plazo,,,,Renta,16000.00,,,Otros activos financieros,,,,,,,,,,,,,,0.00,,,,,,
Deuda a largo plazo,,,,Otros gastos no deducibles,156471.29,,,                 EGRESOS,,,,,,,,,,,,,,,,,,,,
Ganancias diferidas,,,,Total de gastos,242869.46,,,Inversiones/ahorro,-238500.00, -   ,-52378.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-290878.00,,,,,,
TOTAL PASIVOS NO CORRIENTES, -   ,,,,,,,Renta, -   ,-8000.00,-8000.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-16000.00,,,,,,
,,,,Ingresos operativos netos,-269780.86,,,FLUJO INVERSIÓN TOTALES, -   ,-8000.00,-8000.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,-306878.00,,,,,,
TOTAL PASIVOS,41135.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, OTROS INGRESOS,,,,,,,,,,,,,,,,,,,,,,,,
 PATRIMONIO,,,,,,,,FLUJOS DE EFECTIVO FINANCIEROS,,,,,,,,,,,,,,,,,,,,
Capital social,108176.20,,,Ingresos no acumulables,81849.03,,,                INGRESOS,,,,,,,,,,,,,,,,,,,,
Resultados acumulados,-179607.63,,,Intereses,8324.20,,,Intereses,2441.08,2812.01,3071.11, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,8324.20,,,,,,
TOTAL PATRIMONIO NETO,-71431.43,,,Total de otros ingresos,90173.23,,,Otros, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,,,,
,,,,,,,,                 EGRESOS,,,,,,,,,,,,,,,,,,,,
TOTAL PASIVO+PN,-30295.76,,,GANANCIA (O PÉRDIDA) NETA,-179607.63,,,Pagos de intereses, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,,,,
Cuadre,290693.94,,,,,,,Pagos de préstamos bancarios, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,,,,
,,,,,,,,Pagos de dividendos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,,,,
,,,,,,,,Pagos de acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,,,,
,,,,,,,,FLUJO DE FINANCIAMIENTO TOTALES,2441.08,2812.01,3071.11, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,0.00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
